Date,Open,High,Low,Close,Volume
3/8/2018,10.8921,10.8981,10.8079,10.8298,0
3/7/2018,10.8783,10.9004,10.8487,10.8922,0
3/6/2018,10.8483,10.9133,10.8225,10.8788,0
3/5/2018,10.7913,10.8679,10.7808,10.8469,0
3/2/2018,10.7845,10.8198,10.7698,10.8101,0
3/1/2018,10.7707,10.7915,10.733,10.7838,0
2/28/2018,10.8884,10.8951,10.7658,10.7695,0
2/27/2018,10.927,10.9553,10.8468,10.8872,0
2/26/2018,10.9325,11.0091,10.8976,10.9278,0
2/23/2018,10.92,10.9589,10.8788,10.9276,0
2/22/2018,10.8924,10.9454,10.8424,10.9239,0
2/21/2018,10.9518,10.9623,10.8806,10.8913,0
2/20/2018,10.9541,10.9741,10.8985,10.9506,0
2/19/2018,10.9769,10.9909,10.9175,10.9545,0
2/16/2018,11.0267,11.0643,10.9493,10.9844,0
2/15/2018,10.9499,11.0315,10.944,11.0258,0
2/14/2018,10.8696,10.9656,10.7936,10.9499,0
2/13/2018,10.8198,10.8927,10.8165,10.8679,0
2/12/2018,10.8099,10.8528,10.7882,10.8203,0
2/9/2018,10.8825,10.9398,10.763,10.8183,0
2/8/2018,10.8537,10.9991,10.8261,10.8825,0
2/7/2018,10.9068,10.9428,10.8271,10.8529,0
2/6/2018,10.9172,10.9477,10.8178,10.9058,0
2/5/2018,11.0511,11.0668,10.9131,10.9164,0
2/2/2018,11.1544,11.1661,11.0292,11.0458,0
2/1/2018,11.1017,11.1653,11.073,11.1547,0
1/31/2018,11.0649,11.1331,11.0421,11.1021,0
1/30/2018,11.0024,11.0789,10.9292,11.0637,0
1/29/2018,11.0719,11.0719,10.9655,11.0032,0
1/26/2018,11.0594,11.1708,11.0298,11.0775,0
1/25/2018,11.1362,11.2154,11.0078,11.0558,0
1/24/2018,10.9459,11.1512,10.9439,11.1357,0
1/23/2018,10.9355,10.967,10.8791,10.9472,0
1/22/2018,10.8423,10.9381,10.8334,10.9363,0
1/19/2018,10.8626,10.9038,10.8205,10.8271,0
1/18/2018,10.8135,10.8776,10.7935,10.8598,0
1/17/2018,10.7902,10.9026,10.7579,10.8103,0
1/16/2018,10.7884,10.8029,10.7507,10.7899,0
1/15/2018,10.7416,10.8148,10.7373,10.7902,0
1/12/2018,10.5904,10.7507,10.5885,10.7398,0
1/11/2018,10.5651,10.6044,10.5269,10.5908,0
1/10/2018,10.59,10.6107,10.5477,10.566,0
1/9/2018,10.6126,10.6254,10.562,10.5895,0
1/8/2018,10.6118,10.6276,10.5774,10.6112,0
1/5/2018,10.5929,10.623,10.5763,10.6107,0
1/4/2018,10.5641,10.6032,10.5578,10.5943,0
1/3/2018,10.6197,10.6426,10.5494,10.5645,0
1/2/2018,10.5526,10.6316,10.5472,10.6189,0
1/1/2018,10.5587,10.5649,10.5423,10.5501,0
12/29/2017,10.5072,10.5895,10.4951,10.5587,0
12/28/2017,10.4642,10.5184,10.4595,10.5071,0
12/27/2017,10.4476,10.4958,10.4418,10.4638,0
12/26/2017,10.4517,10.4616,10.4241,10.4467,0
12/25/2017,10.4422,10.4723,10.4371,10.4501,0
12/22/2017,10.4665,10.474,10.4355,10.4465,0
12/21/2017,10.4637,10.4739,10.4268,10.4658,0
12/20/2017,10.4614,10.5008,10.4608,10.4637,0
12/19/2017,10.4603,10.4827,10.4218,10.4621,0
12/18/2017,10.417,10.488,10.3959,10.4602,0
12/15/2017,10.4867,10.5073,10.3956,10.4054,0
12/14/2017,10.4726,10.5177,10.4495,10.4869,0
12/13/2017,10.3968,10.4753,10.3911,10.4735,0
12/12/2017,10.4128,10.4462,10.3864,10.397,0
12/11/2017,10.4527,10.4878,10.4065,10.4128,0
12/8/2017,10.521,10.5576,10.4235,10.4522,0
12/7/2017,10.4643,10.5312,10.404,10.5196,0
12/6/2017,10.507,10.5126,10.4351,10.4639,0
12/5/2017,10.5382,10.5414,10.4521,10.5078,0
12/4/2017,10.5311,10.5807,10.4858,10.5386,0
12/1/2017,10.5633,10.5845,10.5031,10.5256,0
11/30/2017,10.4695,10.5823,10.4678,10.564,0
11/29/2017,10.4073,10.5007,10.4073,10.4706,0
11/28/2017,10.3842,10.4473,10.3158,10.4093,0
11/27/2017,10.4139,10.4418,10.383,10.3885,0
11/24/2017,10.3956,10.4342,10.3697,10.4145,0
11/23/2017,10.4084,10.4162,10.3737,10.3955,0
11/22/2017,10.3415,10.4128,10.3216,10.4092,0
11/21/2017,10.3384,10.3651,10.3211,10.3415,0
11/20/2017,10.3235,10.3735,10.3003,10.3384,0
11/17/2017,10.3053,10.3583,10.2882,10.3204,0
11/16/2017,10.2826,10.3149,10.2567,10.3049,0
11/15/2017,10.2724,10.3162,10.2461,10.2821,0
11/14/2017,10.2319,10.2902,10.2019,10.2721,0
11/13/2017,10.2846,10.2964,10.1882,10.2325,0
11/10/2017,10.2526,10.3244,10.2301,10.2899,0
11/9/2017,10.2269,10.2691,10.2043,10.2526,0
11/8/2017,10.2752,10.2828,10.2025,10.2269,0
11/7/2017,10.2761,10.2841,10.2288,10.2764,0
11/6/2017,10.2088,10.2805,10.1887,10.2765,0
11/3/2017,10.1878,10.247,10.1746,10.2023,0
11/2/2017,10.3313,10.3752,10.1774,10.1875,0
11/1/2017,10.3636,10.3945,10.3276,10.3323,0
10/31/2017,10.2984,10.3687,10.2897,10.3623,0
10/30/2017,10.2386,10.3096,10.2278,10.3012,0
10/27/2017,10.2692,10.2712,10.1996,10.2455,0
10/26/2017,10.3496,10.3636,10.2567,10.2682,0
10/25/2017,10.2485,10.3573,10.2309,10.3496,0
10/24/2017,10.2964,10.3207,10.2332,10.2517,0
10/23/2017,10.2884,10.3216,10.2665,10.295,0
10/20/2017,10.265,10.3029,10.211,10.2907,0
10/19/2017,10.3129,10.3308,10.2451,10.2649,0
10/18/2017,10.299,10.3155,10.2593,10.3118,0
10/17/2017,10.3448,10.3758,10.2712,10.2995,0
10/16/2017,10.39,10.397,10.3253,10.3445,0
10/13/2017,10.3551,10.4134,10.3433,10.3728,0
10/12/2017,10.3247,10.3796,10.2459,10.3546,0
10/11/2017,10.3054,10.3339,10.2833,10.3239,0
10/10/2017,10.259,10.3219,10.2508,10.3046,0
10/9/2017,10.2015,10.2909,10.1914,10.2591,0
10/6/2017,10.2461,10.2509,10.1684,10.199,0
10/5/2017,10.3399,10.3483,10.2361,10.2454,0
10/4/2017,10.3389,10.376,10.3374,10.3422,0
10/3/2017,10.372,10.3808,10.328,10.3415,0
10/2/2017,10.4588,10.4701,10.3527,10.3729,0
9/29/2017,10.4999,10.5038,10.4262,10.4647,0
9/28/2017,10.4543,10.5092,10.4207,10.5012,0
9/27/2017,10.513,10.517,10.4345,10.4537,0
9/26/2017,10.5235,10.5616,10.4762,10.5136,0
9/25/2017,10.5372,10.6031,10.4951,10.523,0
9/22/2017,10.5998,10.6167,10.5041,10.5372,0
9/21/2017,10.5249,10.6061,10.513,10.5991,0
9/20/2017,10.5441,10.6509,10.4947,10.5257,0
9/19/2017,10.5486,10.575,10.5098,10.5434,0
9/18/2017,10.6151,10.6458,10.5245,10.5478,0
9/15/2017,10.468,10.6431,10.4551,10.6283,0
9/14/2017,10.3216,10.4749,10.2817,10.4672,0
9/13/2017,10.3765,10.4131,10.3008,10.3216,0
9/12/2017,10.2813,10.3895,10.2805,10.3766,0
9/11/2017,10.3143,10.3323,10.2797,10.2817,0
9/8/2017,10.2375,10.3247,10.2141,10.3117,0
9/7/2017,10.2068,10.2504,10.1951,10.2378,0
9/6/2017,10.1988,10.2392,10.1867,10.2068,0
9/5/2017,10.1151,10.2079,10.1014,10.1996,0
9/4/2017,10.1389,10.1462,10.1029,10.1187,0
9/1/2017,10.1194,10.1694,10.0982,10.1323,0
8/31/2017,10.1128,10.1231,10.0551,10.1193,0
8/30/2017,10.1081,10.1251,10.078,10.1141,0
8/29/2017,10.1165,10.1547,10.105,10.1096,0
8/28/2017,10.0875,10.1266,10.0703,10.1176,0
8/25/2017,10.0134,10.0808,10.009,10.0772,0
8/24/2017,10.0133,10.0456,9.9939,10.013,0
8/23/2017,10.0373,10.0439,10.0003,10.0165,0
8/22/2017,10.0899,10.1019,10.0249,10.0365,0
8/21/2017,10.0708,10.1106,10.0556,10.0936,0
8/18/2017,10.0679,10.1072,10.0401,10.0732,0
8/17/2017,10.0853,10.1017,10.058,10.0677,0
8/16/2017,10.0689,10.0943,10.0436,10.0838,0
8/15/2017,10.1403,10.1463,10.0505,10.0691,0
8/14/2017,10.1583,10.1839,10.1318,10.1403,0
8/11/2017,10.1431,10.1893,10.1163,10.1748,0
8/10/2017,10.159,10.1738,10.1212,10.1433,0
8/9/2017,10.1608,10.1815,10.1373,10.1639,0
8/8/2017,10.1914,10.2127,10.1305,10.1633,0
8/7/2017,10.1846,10.2188,10.1785,10.1931,0
8/4/2017,10.2666,10.2928,10.1815,10.1933,0
8/3/2017,10.3372,10.3721,10.2495,10.2712,0
8/2/2017,10.3143,10.3603,10.3039,10.3354,0
8/1/2017,10.3186,10.3506,10.3004,10.3165,0
7/31/2017,10.2527,10.328,10.2254,10.3211,0
7/28/2017,10.1989,10.2737,10.1954,10.2587,0
7/27/2017,10.2462,10.2767,10.1913,10.203,0
7/26/2017,10.1691,10.2495,10.1513,10.2463,0
7/25/2017,10.1689,10.2165,10.1529,10.1709,0
7/24/2017,10.1392,10.1935,10.1357,10.1714,0
7/21/2017,10.1297,10.1691,10.1136,10.1492,0
7/20/2017,10.1664,10.1781,10.0979,10.1322,0
7/19/2017,10.1743,10.1929,10.1563,10.1651,0
7/18/2017,10.1884,10.2448,10.147,10.1782,0
7/17/2017,10.2162,10.2357,10.1781,10.1886,0
7/14/2017,10.1,10.2356,10.0981,10.2201,0
7/13/2017,10.062,10.1201,10.0563,10.1037,0
7/12/2017,10.0348,10.0824,10.005,10.0648,0
7/11/2017,10.0622,10.103,10.022,10.0377,0
7/10/2017,10.0629,10.0866,10.0426,10.0635,0
7/7/2017,10.1264,10.1378,10.0486,10.0709,0
7/6/2017,10.098,10.1398,10.0831,10.1311,0
7/5/2017,10.0835,10.1105,10.0626,10.0991,0
7/4/2017,10.1043,10.1235,10.079,10.0869,0
7/3/2017,10.1566,10.1704,10.0964,10.1054,0
6/30/2017,10.1511,10.1732,10.1054,10.1701,0
6/29/2017,10.0828,10.1562,10.0797,10.1532,0
6/28/2017,9.9963,10.1255,9.9786,10.0873,0
6/27/2017,9.9194,10.032,9.9159,9.9975,0
6/26/2017,9.9284,9.9522,9.9072,9.9206,0
6/23/2017,9.8875,9.9403,9.8817,9.9201,0
6/22/2017,9.883,9.8993,9.8669,9.8904,0
6/21/2017,9.8498,9.9155,9.8172,9.8849,0
6/20/2017,9.9307,9.9504,9.8294,9.8529,0
6/19/2017,9.9759,9.9923,9.922,9.9352,0
6/16/2017,9.9498,9.9909,9.9425,9.966,0
6/15/2017,9.9409,9.9816,9.897,9.951,0
6/14/2017,9.9429,9.9968,9.9225,9.9439,0
6/13/2017,9.8712,9.949,9.8553,9.9455,0
6/12/2017,9.9247,9.9565,9.8553,9.8711,0
6/9/2017,10.0998,10.1092,9.8464,9.9375,0
6/8/2017,10.1002,10.1184,10.0618,10.1,0
6/7/2017,10.0618,10.1079,10.0421,10.1016,0
6/6/2017,10.0526,10.0943,10.0313,10.0628,0
6/5/2017,10.0073,10.0839,10.0046,10.0548,0
6/2/2017,10.036,10.058,10.0079,10.0366,0
6/1/2017,10.0409,10.0632,9.9948,10.0366,0
5/31/2017,10.0191,10.0707,9.9427,10.044,0
5/30/2017,10.0056,10.045,9.9685,10.0206,0
5/29/2017,9.9792,10.0186,9.9652,10.0082,0
5/26/2017,10.0826,10.0897,9.9517,9.9781,0
5/25/2017,10.1004,10.137,10.0722,10.082,0
5/24/2017,10.0926,10.1263,10.0637,10.1052,0
5/23/2017,10.1179,10.1528,10.0831,10.0952,0
5/22/2017,10.1218,10.1542,10.093,10.1204,0
5/19/2017,10.0659,10.1499,10.0575,10.1457,0
5/18/2017,10.0936,10.1567,10.0297,10.065,0
5/17/2017,10.0583,10.1195,10.048,10.0977,0
5/16/2017,10.0415,10.0904,10.018,10.0604,0
5/15/2017,10.0431,10.0759,10.029,10.0412,0
5/12/2017,10.0331,10.0516,10.0076,10.0468,0
5/11/2017,10.0716,10.0852,10.007,10.0381,0
5/10/2017,10.0665,10.1136,10.0619,10.074,0
5/9/2017,10.0709,10.0903,10.0408,10.0683,0
5/8/2017,10.1021,10.1114,10.0619,10.0726,0
5/5/2017,10.0553,10.1082,10.0377,10.1044,0
5/4/2017,10.0097,10.0641,9.9828,10.0572,0
5/3/2017,10.0659,10.0769,10.0084,10.013,0
5/2/2017,10.0218,10.0705,10.0051,10.0677,0
5/1/2017,10.0724,10.0759,10.0165,10.0235,0
4/28/2017,10.0397,10.0893,10.0248,10.0734,0
4/27/2017,9.9937,10.0503,9.9852,10.0406,0
4/26/2017,9.9881,10.0092,9.9621,9.9939,0
4/25/2017,9.951,9.9934,9.9341,9.9899,0
4/24/2017,9.987,9.9987,9.9324,9.9529,0
4/21/2017,9.9578,9.98,9.9206,9.9624,0
4/20/2017,9.9323,9.9896,9.9284,9.9627,0
4/19/2017,9.9774,10.0007,9.9245,9.9347,0
4/18/2017,9.765,10.0337,9.7281,9.9797,0
4/17/2017,9.7375,9.7948,9.7341,9.7656,0
4/14/2017,9.7213,9.7447,9.7152,9.7348,0
4/13/2017,9.7419,9.774,9.7139,9.7199,0
4/12/2017,9.7044,9.7529,9.6961,9.7452,0
4/11/2017,9.6459,9.712,9.6369,9.7073,0
4/10/2017,9.617,9.6578,9.6039,9.6468,0
4/7/2017,9.6852,9.6968,9.6026,9.6128,0
4/6/2017,9.6963,9.719,9.6712,9.6888,0
4/5/2017,9.6654,9.7133,9.6506,9.6979,0
4/4/2017,9.7032,9.712,9.6483,9.6673,0
4/3/2017,9.7437,9.7569,9.685,9.7043,0
3/31/2017,9.6847,9.7591,9.6596,9.7561,0
3/30/2017,9.6555,9.7352,9.6357,9.6888,0
3/29/2017,9.6694,9.6929,9.6127,9.6601,0
3/28/2017,9.7516,9.7858,9.6604,9.6714,0
3/27/2017,9.694,9.8003,9.6873,9.7548,0
3/24/2017,9.7217,9.7269,9.6807,9.6854,0
3/23/2017,9.6934,9.7353,9.6763,9.7246,0
3/22/2017,9.6889,9.7142,9.6478,9.6951,0
3/21/2017,9.5949,9.7061,9.5823,9.6906,0
3/20/2017,9.6226,9.6593,9.5756,9.5967,0
3/17/2017,9.5935,9.6288,9.5668,9.6199,0
3/16/2017,9.5442,9.6078,9.5026,9.596,0
3/15/2017,9.4388,9.5595,9.427,9.5457,0
3/14/2017,9.4858,9.4944,9.4045,9.4405,0
3/13/2017,9.4483,9.5143,9.4326,9.4875,0
3/10/2017,9.4459,9.4658,9.4255,9.4505,0
3/9/2017,9.4495,9.4725,9.4239,9.4465,0
3/8/2017,9.4699,9.4862,9.4272,9.4514,0
3/7/2017,9.4987,9.5137,9.4473,9.4724,0
3/6/2017,9.5392,9.5501,9.4881,9.5008,0
3/3/2017,9.5205,9.5523,9.4818,9.5448,0
3/2/2017,9.5429,9.5548,9.5011,9.5214,0
3/1/2017,9.6095,9.6304,9.5306,9.5447,0
2/28/2017,9.6551,9.6795,9.6003,9.6102,0
2/27/2017,9.674,9.6913,9.6088,9.6568,0
2/24/2017,9.7405,9.7567,9.6572,9.676,0
2/23/2017,9.6539,9.7465,9.6404,9.7422,0
2/22/2017,9.6796,9.7086,9.6384,9.6626,0
2/21/2017,9.667,9.6864,9.6213,9.6798,0
2/20/2017,9.6294,9.6887,9.623,9.6708,0
2/17/2017,9.6892,9.7104,9.612,9.6355,0
2/16/2017,9.6667,9.7196,9.6633,9.6901,0
2/15/2017,9.6761,9.6873,9.609,9.6682,0
2/14/2017,9.7174,9.7388,9.6526,9.6759,0
2/13/2017,9.6983,9.7298,9.6725,9.7176,0
2/10/2017,9.6945,9.7157,9.6496,9.691,0
2/9/2017,9.728,9.763,9.6875,9.6951,0
2/8/2017,9.7058,9.7381,9.6765,9.7304,0
2/7/2017,9.6738,9.7343,9.5752,9.7056,0
2/6/2017,9.6903,9.7057,9.6378,9.6743,0
2/3/2017,9.7167,9.7296,9.6646,9.6873,0
2/2/2017,9.8194,9.8652,9.7101,9.7215,0
2/1/2017,9.7606,9.8398,9.731,9.8215,0
1/31/2017,9.6837,9.7743,9.6267,9.7599,0
1/30/2017,9.7357,9.7791,9.6681,9.6871,0
1/27/2017,9.7672,9.7861,9.7089,9.7417,0
1/26/2017,9.7982,9.8367,9.7385,9.7701,0
1/25/2017,9.7118,9.8072,9.6872,9.8011,0
1/24/2017,9.7219,9.731,9.6302,9.7125,0
1/23/2017,9.5861,9.7305,9.5814,9.7232,0
1/20/2017,9.5723,9.6051,9.5108,9.5998,0
1/19/2017,9.5058,9.5747,9.501,9.5739,0
1/18/2017,9.626,9.6304,9.5007,9.5084,0
1/17/2017,9.3393,9.6296,9.3172,9.6275,0
1/16/2017,9.3505,9.3765,9.2886,9.344,0
1/13/2017,9.4267,9.4875,9.3982,9.4443,0
1/12/2017,9.4691,9.5512,9.4199,9.4291,0
1/11/2017,9.4418,9.5155,9.3351,9.4703,0
1/10/2017,9.4313,9.4539,9.3867,9.4427,0
1/9/2017,9.5127,9.5176,9.4015,9.4335,0
1/6/2017,9.6197,9.6445,9.5049,9.5294,0
1/5/2017,9.5549,9.6404,9.5122,9.63,0
1/4/2017,9.4874,9.5821,9.4757,9.5559,0
1/3/2017,9.5191,9.5463,9.4611,9.4931,0
1/2/2017,9.5717,9.5821,9.5154,9.5221,0
12/30/2016,9.5074,9.6079,9.4938,9.5679,0
12/29/2016,9.4809,9.5236,9.4683,9.51,0
12/28/2016,9.518,9.5405,9.4621,9.4848,0
12/27/2016,9.532,9.5391,9.4934,9.5213,0
12/26/2016,9.5135,9.5558,9.5098,9.5381,0
12/23/2016,9.5307,9.5485,9.4879,9.538,0
12/22/2016,9.586,9.6093,9.5261,9.5336,0
12/21/2016,9.6053,9.6198,9.562,9.5901,0
12/20/2016,9.6294,9.6406,9.5607,9.6022,0
12/19/2016,9.6991,9.7088,9.5951,9.6305,0
12/16/2016,9.6363,9.7223,9.6056,9.7055,0
12/15/2016,9.7437,9.7548,9.6002,9.6381,0
12/14/2016,9.8155,9.8675,9.7188,9.748,0
12/13/2016,9.8335,9.8739,9.8102,9.8174,0
12/12/2016,9.7527,9.8526,9.7379,9.8338,0
12/9/2016,9.7608,9.7928,9.7365,9.7585,0
12/8/2016,9.7903,9.8548,9.7293,9.761,0
12/7/2016,9.83,9.8384,9.7468,9.7922,0
12/6/2016,9.8693,9.9092,9.8123,9.8329,0
12/5/2016,9.8687,9.8843,9.7895,9.8747,0
12/2/2016,9.7631,9.8855,9.745,9.8713,0
12/1/2016,9.6985,9.848,9.6933,9.7652,0
11/30/2016,9.6871,9.7149,9.6295,9.7003,0
11/29/2016,9.6272,9.7163,9.6049,9.6878,0
11/28/2016,9.6696,9.721,9.6027,9.6303,0
11/25/2016,9.6545,9.6885,9.6269,9.6769,0
11/24/2016,9.6478,9.6949,9.6145,9.6588,0
11/23/2016,9.6332,9.6723,9.584,9.6484,0
11/22/2016,9.691,9.7047,9.6032,9.6357,0
11/21/2016,9.5865,9.7073,9.5456,9.6901,0
11/18/2016,9.6315,9.6484,9.539,9.576,0
11/17/2016,9.6511,9.7003,9.6226,9.632,0
11/16/2016,9.6605,9.6987,9.6245,9.6525,0
11/15/2016,9.6857,9.7211,9.6014,9.6636,0
11/14/2016,9.7673,9.7861,9.6496,9.6914,0
11/11/2016,9.735,9.8323,9.7117,9.7767,0
11/10/2016,9.6203,9.7623,9.5955,9.7379,0
11/9/2016,9.5972,9.7309,9.5755,9.6221,0
11/8/2016,9.6084,9.6541,9.5807,9.5979,0
11/7/2016,9.7014,9.7148,9.5989,9.615,0
11/4/2016,9.6621,9.743,9.6527,9.7092,0
11/3/2016,9.5383,9.6918,9.533,9.6635,0
11/2/2016,9.4895,9.5854,9.4751,9.5413,0
11/1/2016,9.4881,9.5246,9.4637,9.4944,0
10/31/2016,9.4427,9.5017,9.4146,9.4955,0
10/28/2016,9.4293,9.4734,9.3913,9.4494,0
10/27/2016,9.4974,9.5161,9.4196,9.4322,0
10/26/2016,9.4513,9.5037,9.424,9.4996,0
10/25/2016,9.4904,9.4985,9.3699,9.4537,0
10/24/2016,9.4939,9.5052,9.4507,9.4944,0
10/21/2016,9.5051,9.5163,9.4403,9.493,0
10/20/2016,9.527,9.5425,9.4701,9.5054,0
10/19/2016,9.5372,9.5671,9.5044,9.5322,0
10/18/2016,9.4486,9.5652,9.4443,9.5417,0
10/17/2016,9.4541,9.4698,9.4143,9.4529,0
10/14/2016,9.5068,9.5146,9.4386,9.4554,0
10/13/2016,9.4662,9.5229,9.4105,9.5061,0
10/12/2016,9.4,9.5642,9.3881,9.4697,0
10/11/2016,9.5899,9.6055,9.3763,9.405,0
10/10/2016,9.6426,9.6605,9.5744,9.5919,0
10/7/2016,9.7843,9.7949,9.168,9.6467,0
10/6/2016,9.8856,9.8987,9.7735,9.7851,0
10/5/2016,9.8709,9.9078,9.8378,9.8894,0
10/4/2016,9.9583,9.9756,9.8614,9.8726,0
10/3/2016,10.0348,10.0437,9.9384,9.9602,0
9/30/2016,10.0568,10.1008,10.0304,10.0649,0
9/29/2016,10.0899,10.127,10.0435,10.059,0
9/28/2016,10.0973,10.1071,10.0626,10.0945,0
9/27/2016,10.0602,10.1027,10.0292,10.0987,0
9/26/2016,10.0458,10.0738,10.0157,10.063,0
9/23/2016,10.1381,10.1568,10.0145,10.0628,0
9/22/2016,10.1054,10.1771,10.0993,10.1427,0
9/21/2016,10.0743,10.1196,10.0385,10.103,0
9/20/2016,10.1061,10.1358,10.0407,10.0753,0
9/19/2016,10.0807,10.1574,10.0784,10.1078,0
9/16/2016,10.2677,10.2843,10.0795,10.0875,0
9/15/2016,10.2642,10.3024,10.2234,10.2708,0
9/14/2016,10.232,10.2736,10.1909,10.2681,0
9/13/2016,10.3433,10.351,10.2141,10.2367,0
9/12/2016,10.2911,10.3568,10.2663,10.3476,0
9/9/2016,10.3099,10.3501,10.2667,10.2913,0
9/8/2016,10.346,10.3761,10.3002,10.3139,0
9/7/2016,10.42,10.4241,10.3275,10.347,0
9/6/2016,10.3136,10.4289,10.3075,10.4227,0
9/5/2016,10.3103,10.3767,10.3033,10.318,0
9/2/2016,10.2921,10.3586,10.2762,10.3093,0
9/1/2016,10.1897,10.3312,10.1799,10.2932,0
8/31/2016,10.146,10.2061,10.1337,10.1914,0
8/30/2016,10.1659,10.1791,10.1277,10.1484,0
8/29/2016,10.186,10.192,10.1261,10.1627,0
8/26/2016,10.2274,10.2996,10.1751,10.1895,0
8/25/2016,10.2579,10.2852,10.2087,10.2302,0
8/24/2016,10.2265,10.2931,10.2024,10.2606,0
8/23/2016,10.1806,10.2445,10.1766,10.2328,0
8/22/2016,10.1241,10.2018,10.0992,10.1868,0
8/19/2016,10.2112,10.2242,10.0943,10.1377,0
8/18/2016,10.112,10.2149,10.1042,10.2096,0
8/17/2016,10.1134,10.1501,10.0618,10.1136,0
8/16/2016,9.9868,10.1222,9.9824,10.1158,0
8/15/2016,10.0182,10.0407,9.9764,9.9893,0
8/12/2016,10.048,10.1134,10.0051,10.0233,0
8/11/2016,10.0863,10.1056,10.0308,10.0485,0
8/10/2016,10.0855,10.1585,10.0738,10.0919,0
8/9/2016,10.1129,10.1245,10.048,10.0855,0
8/8/2016,10.1484,10.1582,10.1035,10.1147,0
8/5/2016,10.1628,10.2206,10.0958,10.1379,0
8/4/2016,10.3376,10.3548,10.1597,10.1668,0
8/3/2016,10.3637,10.3746,10.3017,10.3409,0
8/2/2016,10.2269,10.3746,10.2186,10.3666,0
8/1/2016,10.2665,10.2999,10.2103,10.2271,0
7/29/2016,10.21,10.3218,10.195,10.2604,0
7/28/2016,10.2528,10.2768,10.1717,10.2111,0
7/27/2016,10.1851,10.2661,10.1375,10.2553,0
7/26/2016,10.1879,10.2237,10.1256,10.1863,0
7/25/2016,10.1745,10.2119,10.1553,10.1934,0
7/22/2016,10.2613,10.3075,10.1431,10.1707,0
7/21/2016,10.2414,10.2973,10.2033,10.2641,0
7/20/2016,10.166,10.259,10.1291,10.2454,0
7/19/2016,10.2768,10.2949,10.137,10.1685,0
7/18/2016,10.2289,10.3243,10.2057,10.2794,0
7/15/2016,10.3439,10.4541,10.1815,10.2298,0
7/14/2016,10.1922,10.4506,10.1607,10.3453,0
7/13/2016,10.2752,10.3485,10.1832,10.1975,0
7/12/2016,10.076,10.3167,10.0599,10.2737,0
7/11/2016,10.0454,10.1003,9.9677,10.0806,0
7/8/2016,10.0129,10.1001,9.9889,10.0513,0
7/7/2016,10.0294,10.1253,9.9858,10.0157,0
7/6/2016,10.0987,10.1107,9.9285,10.0318,0
7/5/2016,10.3093,10.316,10.0841,10.1035,0
7/4/2016,10.2946,10.3513,10.2607,10.3119,0
7/1/2016,10.3265,10.3595,10.2739,10.2892,0
6/30/2016,10.4185,10.4721,10.243,10.3283,0
6/29/2016,10.3492,10.5016,10.3061,10.4177,0
6/28/2016,10.258,10.4128,10.2413,10.3517,0
